2026-05-28T09:30:32.134Z 355872,0.103,-1.335,0.610,-16.306,-66.115,19.445;355893,0.210,-1.366,0.679,-15.188,-66.140,16.690;355913,0.213,-1.381,0.743,-18.622,-61.465,12.793;355933,0.163,-1.352,0.773,-14.447,-51.385,8.926;355953,0.114,-1.296,0.747,-7.061,-45.572,7.265
2026-05-28T09:30:32.257Z 355973,0.059,-1.205,0.636,0.022,-44.321,8.669;355995,0.012,-1.017,0.493,8.918,-47.149,12.611;356018,-0.007,-0.812,0.361,20.324,-49.049,16.117;356038,-0.038,-0.584,0.276,40.191,-48.933,18.101;356058,-0.079,-0.424,0.239,51.503,-48.267,19.171
2026-05-28T09:30:32.349Z 356078,-0.086,-0.305,0.201,55.697,-49.963,19.492;356098,0.018,-0.295,0.143,32.722,-59.085,13.448;356118,0.243,-0.777,0.038,-20.526,-75.894,10.858;356138,0.261,-1.033,-0.019,-70.740,-90.593,-2.771;356158,0.041,-1.212,0.241,-49.198,-76.125,11.383
2026-05-28T09:30:32.437Z 356178,0.062,-1.314,0.277,-15.359,-48.199,13.817;356198,0.067,-1.371,0.412,-12.058,-50.216,15.040;356218,0.066,-1.379,0.471,-14.515,-57.479,16.149;356238,0.069,-1.325,0.552,-14.856,-66.994,17.338;356261,0.137,-1.249,0.491,-4.003,-68.270,17.971
2026-05-28T09:30:32.555Z 356281,0.188,-1.138,0.426,3.821,-67.313,17.449;356301,0.205,-0.957,0.295,13.822,-63.112,15.203;356321,0.194,-0.780,0.148,20.162,-58.543,12.380;356341,0.145,-0.572,0.063,27.401,-49.588,8.323;356363,0.091,-0.404,0.054,34.314,-39.696,6.659
2026-05-28T09:30:32.671Z 356383,0.055,-0.299,0.058,28.013,-32.542,7.021;356403,0.072,-0.297,0.046,9.007,-34.033,5.022;356423,0.087,-0.760,-0.021,-43.485,-52.860,10.762;356443,0.039,-1.246,0.351,-29.895,-67.178,7.068;356463,0.023,-1.278,0.494,-17.766,-59.216,5.001
2026-05-28T09:30:32.769Z 356483,0.184,-1.313,0.528,-6.440,-51.066,-2.073;356503,0.260,-1.372,0.623,-13.933,-47.352,-7.036;356524,0.264,-1.388,0.673,-15.368,-38.959,-10.279;356544,0.167,-1.354,0.709,-14.061,-28.720,-13.595;356564,0.080,-1.269,0.629,-8.528,-21.327,-14.29
2026-05-28T09:30:32.889Z 356584,0.008,-1.133,0.526,-2.460,-18.805,-12.338;356604,-0.023,-0.967,0.387,3.457,-21.414,-7.267;356624,-0.027,-0.780,0.257,12.368,-22.743,-1.362;356644,-0.025,-0.593,0.160,22.543,-19.176,5.015;356664,-0.036,-0.424,0.100,37.728,-14.184,10.994
2026-05-28T09:30:32.946Z 356684,-0.045,-0.315,0.124,47.102,-13.979,16.228;356707,-0.045,-0.223,0.108,43.974,-19.481,18.458;356727,0.060,-0.441,0.060,6.890,-30.109,11.728;356747,0.163,-0.744,0.050,-56.262,-60.877,-2.841;356767,0.172,-1.223,0.387,-59.825,-75.485,-20.863
2026-05-28T09:30:33.093Z 356787,0.065,-1.255,0.796,-56.646,-62.734,-5.989;356807,0.013,-1.360,0.805,-23.357,-36.149,-1.934;356831,0.038,-1.394,0.833,-22.179,-39.305,5.226;356854,0.070,-1.348,0.768,-23.659,-48.039,10.332;356874,0.105,-1.269,0.727,-19.506,-52.625,12.805
2026-05-28T09:30:33.156Z 356896,0.194,-1.147,0.577,-5.447,-45.821,12.385;356916,0.273,-0.975,0.433,8.316,-33.024,8.634;356936,0.275,-0.755,0.271,19.263,-21.726,3.008;356956,0.199,-0.524,0.188,35.215,-6.300,-1.437;356979,0.101,-0.378,0.195,41.972,7.270,1.325
2026-05-28T09:30:33.334Z 356999,0.016,-0.291,0.157,20.241,11.188,2.428;357019,-0.017,-0.566,0.140,-28.618,2.423,5.484;357040,0.021,-0.837,0.268,-79.962,-27.713,9.143;357060,0.066,-1.283,0.372,-51.506,-34.625,13.385;357080,0.088,-1.343,0.224,-16.379,-23.792,7.295
2026-05-28T09:30:33.364Z 357102,0.135,-1.367,0.291,-15.707,-21.065,0.694;357122,0.134,-1.367,0.394,-23.889,-16.999,-4.179;357142,0.092,-1.319,0.488,-22.777,-7.976,-7.383;357162,0.028,-1.243,0.460,-14.078,1.780,-8.262;357182,-0.059,-1.128,0.368,1.922,8.041,-6.897
2026-05-28T09:30:33.488Z 357202,-0.136,-0.946,0.270,20.201,8.968,-3.603;357222,-0.163,-0.750,0.166,35.847,6.790,1.609;357242,-0.127,-0.499,0.089,55.904,7.611,5.713;357262,-0.084,-0.361,0.137,63.109,9.454,10.855;357282,-0.055,-0.277,0.114,59.612,4.695,11.589
2026-05-28T09:30:33.581Z 357302,0.066,-0.521,-0.009,8.886,-6.950,-0.988;357322,0.173,-0.673,-0.155,-51.398,-34.912,-17.787;357344,0.121,-1.172,0.294,-51.434,-55.575,-31.476;357365,-0.080,-1.319,0.590,-38.317,-35.273,-20.102;357385,-0.046,-1.315,0.486,-8.052,-15.681,-15
2026-05-28T09:30:33.670Z 357405,0.000,-1.351,0.527,-11.302,-21.633,-6.705;357425,0.016,-1.293,0.467,-14.533,-28.853,-1.684;357445,0.078,-1.190,0.392,-6.567,-29.908,-1.176;357465,0.152,-1.028,0.252,7.291,-23.893,-1.897;357489,0.214,-0.831,0.149,17.605,-13.479,-4.475
2026-05-28T09:30:33.793Z 357509,0.181,-0.579,0.073,30.400,0.481,-9.668;357529,0.139,-0.376,0.069,54.294,15.479,-8.735;357549,0.081,-0.199,0.009,60.899,27.412,-2.736;357569,0.036,-0.196,-0.041,33.600,31.540,-1.948;357589,0.055,-0.573,-0.021,-26.902,6.850,0.599
2026-05-28T09:30:33.910Z 357613,0.049,-1.087,0.440,-64.514,-19.446,-7.904;357633,-0.208,-1.096,0.964,-55.487,-7.575,-5.005;357653,-0.107,-1.184,0.623,-23.525,3.879,-8.093;357677,-0.088,-1.226,0.619,-23.860,9.587,-11.574;357697,-0.120,-1.247,0.650,-29.491,11.307,-11.666
2026-05-28T09:30:33.998Z 357717,-0.174,-1.153,0.639,-18.924,14.226,-13.305;357737,-0.223,-1.010,0.541,-5.292,15.873,-12.450;357761,-0.233,-0.780,0.424,16.605,15.936,-8.794;357781,-0.231,-0.537,0.300,42.935,16.302,-4.053;357801,-0.208,-0.339,0.244,73.400,20.384,1.847
2026-05-28T09:30:34.091Z 357821,-0.167,-0.227,0.220,81.323,15.550,10.847;357842,-0.119,-0.137,0.169,73.537,9.913,14.399;357862,-0.002,-0.355,0.040,31.434,-2.560,4.790;357882,0.076,-0.616,0.213,-42.990,-26.099,-28.898;357902,0.018,-1.097,0.714,-102.368,-42.939,-25.641
2026-05-28T09:30:34.207Z 357922,-0.117,-1.307,1.207,-79.368,-43.374,-8.074;357942,-0.170,-1.357,0.992,-51.148,-20.626,-7.010;357964,-0.070,-1.390,0.927,-30.832,-27.503,-3.518;357984,0.015,-1.298,0.739,-9.069,-30.491,-1.685;358004,0.088,-1.147,0.580,-3.085,-25.395,-2.61
2026-05-28T09:30:34.297Z 358024,0.150,-0.884,0.432,11.001,-9.208,-8.424;358044,0.169,-0.598,0.294,32.083,6.437,-12.740;358064,0.150,-0.410,0.234,61.658,22.244,-8.348;358084,0.078,-0.353,0.185,28.789,32.668,-1.901;358104,0.006,-0.419,0.132,-8.974,34.085,-3.020
2026-05-28T09:30:34.384Z 358128,0.035,-0.791,0.254,-78.087,17.464,2.561;358148,0.088,-1.272,0.709,-76.902,-7.687,2.268;358169,0.099,-1.333,1.203,-57.191,-5.399,1.891;358189,0.098,-1.364,1.145,-43.000,6.718,-3.453;358209,0.066,-1.348,1.042,-32.110,15.067,-5.167
2026-05-28T09:30:34.508Z 358229,-0.015,-1.228,0.942,-28.932,16.634,-5.448;358249,-0.077,-1.042,0.817,-14.943,17.645,-6.707;358269,-0.084,-0.808,0.663,4.703,19.878,-8.740;358289,-0.086,-0.556,0.521,28.231,24.202,-6.774;358309,-0.088,-0.373,0.449,49.851,25.040,-0.307
2026-05-28T09:30:34.601Z 358330,-0.085,-0.284,0.388,49.267,18.629,6.212;358350,-0.041,-0.376,0.243,21.827,3.685,3.010;358370,0.237,-0.920,0.304,-43.401,-24.022,0.603;358392,0.109,-1.284,0.681,-53.141,-43.609,-1.907;358412,-0.035,-1.404,1.179,-40.583,-22.300,5.277
