2026-05-28T09:34:46.358Z 610084,0.017,-0.592,0.152,34.501,1.554,-4.377;610104,0.013,-0.388,0.136,43.251,7.848,-9.204;610124,0.006,-0.218,0.143,35.454,8.520,-9.528;610144,-0.031,-0.192,0.135,9.848,0.614,-9.527;610164,-0.052,-0.256,0.057,-28.983,-14.346,-7.003
2026-05-28T09:34:46.476Z 610184,-0.052,-0.276,0.037,-44.795,-20.636,-5.203;610208,-0.019,-0.354,-0.063,-24.563,-14.308,-0.799;610228,0.059,-0.460,-0.121,0.197,-9.123,9.548;610248,0.021,-0.950,0.102,1.229,-7.296,20.614;610268,0.191,-1.307,0.233,-12.926,-16.035,15.639
2026-05-28T09:34:46.572Z 610291,0.259,-1.450,0.414,-19.648,-12.641,10.605;610311,0.278,-1.575,0.527,-18.797,-4.519,5.554;610331,0.263,-1.629,0.659,-17.525,4.948,-2.546;610351,0.176,-1.594,0.651,-9.971,15.357,-12.103;610375,0.071,-1.490,0.561,-1.444,26.200,-18.906
2026-05-28T09:34:46.689Z 610395,-0.010,-1.336,0.486,-4.789,26.921,-22.498;610419,-0.032,-1.140,0.429,-8.941,21.391,-20.532;610439,-0.041,-0.963,0.377,-7.115,19.546,-14.607;610459,-0.051,-0.778,0.300,3.785,21.540,-6.775;610479,-0.037,-0.614,0.218,13.764,21.797,2.659
2026-05-28T09:34:46.779Z 610502,-0.014,-0.480,0.155,22.073,21.091,10.608;610522,0.005,-0.379,0.123,24.530,18.944,16.605;610542,0.012,-0.303,0.091,19.211,13.136,20.861;610562,-0.010,-0.269,0.051,1.901,6.139,21.669;610582,-0.029,-0.260,0.003,-16.109,0.503,19.909
2026-05-28T09:34:46.897Z 610602,-0.031,-0.260,-0.050,-30.721,-8.425,16.741;610622,0.033,-0.399,-0.245,-24.355,-19.411,12.463;610642,0.397,-0.930,-0.340,2.351,-13.625,-9.593;610664,0.133,-1.390,-0.335,-0.702,-21.515,-18.417;610684,-0.184,-1.586,0.302,-36.733,-30.244,0.4
2026-05-28T09:34:46.992Z 610706,-0.169,-1.807,0.077,-27.973,-16.360,1.376;610726,-0.115,-1.856,0.382,-34.626,-17.394,8.346;610746,-0.087,-1.892,0.610,-25.559,-15.719,14.047;610766,-0.040,-1.808,0.632,-6.528,-9.498,17.111;610786,0.008,-1.626,0.547,-3.077,-6.059,21.012
2026-05-28T09:34:47.077Z 610806,0.027,-1.421,0.449,-0.509,-7.045,22.215;610826,0.036,-1.214,0.376,3.431,-9.586,19.006;610846,0.068,-0.999,0.255,13.673,-13.989,11.978;610866,0.094,-0.792,0.133,22.535,-12.861,4.312;610886,0.077,-0.603,0.061,25.857,-6.831,-2.913
2026-05-28T09:34:47.171Z 610906,0.046,-0.449,0.023,23.297,-1.375,-8.034;610926,0.010,-0.357,0.020,11.535,0.534,-10.132;610946,0.015,-0.334,0.026,-10.584,-2.402,-9.130;610966,0.017,-0.333,0.028,-29.449,-6.894,-7.587;610986,0.013,-0.305,0.025,-29.628,-8.625,-6.547
2026-05-28T09:34:47.318Z 611007,0.012,-0.275,0.002,-21.760,-8.210,-4.746;611027,0.018,-0.250,-0.046,-10.119,-5.367,-2.882;611047,0.020,-0.385,-0.191,-1.249,1.151,-0.899;611067,-0.166,-0.926,-0.183,7.855,-1.347,18.368;611087,-0.032,-1.387,0.157,-3.623,-21.104,26.619
2026-05-28T09:34:47.381Z 611107,0.176,-1.462,0.421,-14.725,-22.031,19.282;611127,0.240,-1.580,0.581,-4.716,-11.731,15.256;611147,0.238,-1.638,0.698,3.151,0.621,6.034;611167,0.205,-1.648,0.745,13.665,9.546,-3.533;611187,0.114,-1.601,0.663,13.098,13.689,-11.850
2026-05-28T09:34:47.483Z 611207,0.034,-1.509,0.583,9.724,14.108,-16.616;611227,0.009,-1.342,0.505,4.264,9.859,-18.257;611247,-0.005,-1.152,0.404,0.850,2.218,-16.779;611267,-0.007,-0.981,0.314,0.522,-0.733,-12.340;611287,-0.002,-0.790,0.218,7.227,-0.321,-3.625
2026-05-28T09:34:47.588Z 611307,0.004,-0.620,0.116,17.880,1.851,3.501;611327,0.005,-0.441,0.067,29.334,7.177,8.988;611347,0.010,-0.337,0.029,37.229,6.064,13.011;611371,0.027,-0.262,-0.013,31.938,3.204,13.523;611391,0.039,-0.230,-0.034,13.616,0.196,10.823
2026-05-28T09:34:47.684Z 611411,0.035,-0.217,-0.048,-8.962,-5.235,6.738;611433,0.016,-0.283,-0.092,-25.782,-10.986,2.400;611453,0.256,-0.831,-0.081,5.442,-6.903,-14.867;611473,0.062,-1.284,0.027,7.674,-18.374,-27.349;611493,-0.204,-1.521,0.168,-17.876,-30.760,-10.075
2026-05-28T09:34:47.803Z 611513,-0.158,-1.732,0.196,1.624,-19.884,-11.016;611533,-0.127,-1.795,0.403,-10.119,-22.788,-4.186;611556,-0.119,-1.815,0.582,-16.145,-25.330,2.378;611576,-0.084,-1.767,0.646,-10.473,-23.874,6.332;611596,-0.010,-1.652,0.560,-8.801,-19.689,8.206
2026-05-28T09:34:47.888Z 611620,0.045,-1.486,0.510,-6.758,-20.114,8.128;611640,0.051,-1.279,0.390,-0.910,-22.663,6.782;611660,0.049,-1.077,0.277,7.677,-25.883,4.448;611684,0.035,-0.854,0.158,20.249,-25.406,1.045;611704,0.040,-0.642,0.105,28.015,-19.755,-1.245
2026-05-28T09:34:48.011Z 611725,0.053,-0.467,0.098,35.458,-15.831,-2.458;611745,0.048,-0.372,0.103,33.078,-15.443,-2.986;611765,0.047,-0.350,0.109,8.936,-20.615,-6.987;611785,0.077,-0.349,0.094,-19.888,-27.337,-12.489;611805,0.099,-0.308,0.061,-32.973,-26.002,-18.308
2026-05-28T09:34:48.099Z 611829,0.077,-0.264,0.048,-34.609,-21.964,-21.952;611849,0.051,-0.337,-0.104,-15.346,-17.470,-18.256;611869,-0.136,-0.756,-0.265,2.721,-16.022,-4.804;611891,-0.184,-1.243,-0.000,-7.309,-34.511,12.643;611911,0.137,-1.317,0.267,-27.627,-46.244,3.
2026-05-28T09:34:48.220Z 611931,0.309,-1.426,0.528,-37.875,-47.547,3.351;611951,0.233,-1.481,0.672,-31.086,-36.707,2.887;611971,0.179,-1.516,0.788,-19.749,-21.606,-0.460;611991,0.107,-1.484,0.771,-0.536,-10.226,-4.414;612011,0.018,-1.391,0.642,4.644,-8.198,-6.733
2026-05-28T09:34:48.309Z 612031,-0.019,-1.261,0.537,5.961,-11.473,-8.251;612051,0.017,-1.063,0.416,3.328,-18.623,-7.480;612071,0.051,-0.864,0.314,4.971,-23.593,-3.954;612094,0.026,-0.686,0.210,10.808,-23.323,1.391;612114,0.005,-0.539,0.133,17.564,-21.124,9.195
2026-05-28T09:34:48.399Z 612134,0.002,-0.402,0.066,26.447,-20.766,17.345;612158,0.010,-0.301,0.016,28.714,-22.348,22.351;612178,0.020,-0.262,-0.015,21.697,-25.652,23.583;612198,0.030,-0.253,-0.022,3.520,-30.337,21.829;612221,0.045,-0.296,-0.085,-17.910,-38.741,17.825
2026-05-28T09:34:48.524Z 612241,0.141,-0.756,-0.120,10.448,-42.744,1.849;612261,0.145,-1.236,0.136,25.003,-50.743,-17.431;612281,-0.100,-1.459,0.089,16.895,-57.139,-7.213;612301,-0.040,-1.582,0.676,6.029,-49.987,-4.171;612321,0.017,-1.688,0.717,8.503,-56.506,-0.351
2026-05-28T09:34:48.609Z 612341,0.038,-1.709,0.856,-3.411,-62.495,7.373;612363,0.041,-1.655,0.945,-2.450,-64.162,12.340;612383,0.082,-1.555,0.842,5.177,-65.497,16.449;612403,0.139,-1.408,0.733,6.580,-64.013,19.859;612423,0.172,-1.227,0.600,7.607,-64.939,19.957
2026-05-28T09:34:48.787Z 612443,0.195,-1.030,0.486,10.860,-64.876,14.138;612463,0.183,-0.823,0.372,22.982,-62.688,6.404;612486,0.163,-0.632,0.265,27.454,-57.954,0.822;612506,0.130,-0.478,0.200,23.657,-56.128,-0.906;612526,0.064,-0.420,0.162,9.735,-58.420,0.359
2026-05-28T09:34:48.817Z 612546,0.062,-0.427,0.129,-6.593,-61.788,-0.482;612566,0.108,-0.397,0.114,-13.203,-59.880,-4.151;612586,0.140,-0.342,0.074,-13.457,-56.446,-5.778;612606,0.139,-0.298,0.027,-9.222,-50.479,-5.939;612626,0.124,-0.361,-0.083,-4.333,-47.009,-0.969
2026-05-28T09:34:48.942Z 612646,0.050,-0.467,-0.178,1.234,-41.065,4.412;612670,-0.120,-0.967,0.160,-4.911,-44.235,23.551;612690,0.117,-1.136,0.367,-10.364,-59.297,19.971;612710,0.352,-1.233,0.577,-17.974,-58.908,16.795;612730,0.369,-1.346,0.654,-12.504,-51.985,13.713
