2026-05-28T09:27:35.200Z 178912,-0.026,-0.995,0.374,0.949,-18.307,8.844;178932,-0.010,-0.820,0.263,12.516,-18.610,4.399;178952,0.023,-0.630,0.164,26.999,-15.251,-2.934;178972,0.044,-0.463,0.080,37.543,-10.161,-9.463;178992,0.017,-0.352,0.026,24.798,-8.619,-12.371
2026-05-28T09:27:35.312Z 179016,-0.039,-0.302,0.016,-2.964,-11.849,-10.790;179036,-0.057,-0.290,0.036,-25.545,-17.808,-6.426;179056,-0.034,-0.359,-0.028,-41.827,-27.048,-0.287;179078,-0.070,-0.768,-0.009,-27.212,-28.612,7.071;179098,-0.133,-1.147,0.090,-22.087,-35.114,
2026-05-28T09:27:35.377Z 179118,0.002,-1.316,0.130,-7.870,-29.911,11.669;179138,0.082,-1.423,0.179,-3.458,-25.287,10.071;179158,0.125,-1.507,0.297,-7.233,-22.281,10.091;179178,0.120,-1.575,0.431,-6.972,-18.152,8.094;179200,0.074,-1.601,0.526,-1.239,-14.678,2.262
2026-05-28T09:27:35.502Z 179220,0.027,-1.545,0.519,3.937,-14.198,-3.599;179240,-0.003,-1.465,0.512,4.390,-19.466,-8.040;179260,-0.014,-1.335,0.499,2.340,-27.605,-10.612;179284,0.008,-1.169,0.461,1.852,-31.530,-10.497;179304,0.035,-0.972,0.387,5.501,-33.118,-8.548
2026-05-28T09:27:35.615Z 179324,0.039,-0.776,0.323,14.033,-29.423,-3.768;179347,0.008,-0.616,0.257,22.923,-26.840,2.217;179367,0.002,-0.498,0.182,29.107,-26.650,7.240;179387,0.013,-0.412,0.110,24.750,-29.995,8.021;179407,0.018,-0.350,0.073,15.041,-31.722,5.659
2026-05-28T09:27:35.730Z 179427,0.036,-0.337,0.032,0.947,-31.111,1.710;179450,0.088,-0.400,-0.084,-10.520,-36.002,-1.917;179470,0.227,-0.704,-0.115,-18.116,-36.242,-9.095;179490,0.145,-0.991,-0.022,-15.407,-32.462,-11.988;179510,-0.064,-1.212,0.095,-11.439,-28.325,-9.0
2026-05-28T09:27:35.795Z 179530,-0.068,-1.358,0.219,-5.265,-29.442,-3.850;179551,-0.025,-1.482,0.320,-4.347,-38.621,-2.188;179571,-0.025,-1.554,0.457,-7.567,-49.124,0.630;179591,-0.033,-1.566,0.553,-4.226,-54.234,4.707;179611,-0.031,-1.533,0.591,-3.839,-58.340,10.852
2026-05-28T09:27:35.916Z 179632,-0.010,-1.468,0.599,-6.001,-63.001,16.325;179652,0.024,-1.368,0.582,-7.783,-67.183,19.094;179672,0.064,-1.238,0.504,-7.000,-72.349,18.840;179692,0.091,-1.085,0.392,-1.464,-72.144,16.077;179712,0.125,-0.915,0.268,6.602,-69.517,12.212
2026-05-28T09:27:36.004Z 179732,0.146,-0.720,0.172,19.591,-63.932,5.887;179752,0.151,-0.536,0.096,34.991,-53.839,-2.388;179772,0.128,-0.387,0.051,41.809,-45.928,-8.098;179792,0.071,-0.297,0.028,23.178,-45.026,-9.851;179812,0.013,-0.296,0.031,-6.950,-52.152,-6.751
2026-05-28T09:27:36.096Z 179832,0.021,-0.394,-0.003,-40.047,-62.466,-0.416;179852,-0.025,-0.906,0.099,-25.013,-69.182,18.159;179872,-0.033,-1.053,0.343,-28.283,-77.765,25.422;179892,0.133,-1.177,0.311,-13.723,-71.758,20.315;179912,0.220,-1.307,0.347,-12.974,-67.339,19.
2026-05-28T09:27:36.221Z 179932,0.212,-1.441,0.418,-14.104,-63.766,19.841;179952,0.171,-1.570,0.509,-10.651,-55.400,18.968;179972,0.146,-1.607,0.643,-3.130,-50.487,13.573;179992,0.111,-1.582,0.662,2.256,-49.478,7.584;180012,0.093,-1.495,0.639,1.743,-50.699,2.600
2026-05-28T09:27:36.305Z 180032,0.078,-1.376,0.613,0.191,-50.373,-0.681;180052,0.070,-1.245,0.561,-0.607,-48.987,-1.348;180072,0.071,-1.096,0.493,-0.223,-46.080,2.461;180092,0.067,-0.923,0.410,4.407,-42.464,8.264;180112,0.066,-0.741,0.332,16.783,-36.524,13.809
2026-05-28T09:27:36.398Z 180132,0.080,-0.566,0.254,28.813,-31.210,18.764;180152,0.082,-0.461,0.157,37.849,-30.109,22.260;180172,0.068,-0.379,0.092,32.455,-31.314,19.839;180192,0.058,-0.312,0.063,17.223,-31.552,15.726;180212,0.062,-0.290,0.021,-0.183,-29.117,11.410
2026-05-28T09:27:36.523Z 180232,0.066,-0.357,-0.093,-14.676,-31.744,7.637;180252,0.176,-0.657,-0.120,-20.970,-35.323,1.097;180272,0.088,-0.901,-0.009,-20.178,-33.046,4.161;180292,-0.120,-1.164,0.173,-21.958,-34.223,9.840;180312,-0.130,-1.352,0.317,-15.698,-37.869,12.00
2026-05-28T09:27:36.610Z 180336,-0.086,-1.453,0.400,-11.997,-48.934,9.444;180356,-0.042,-1.508,0.489,-13.493,-54.796,10.074;180376,0.010,-1.502,0.531,-10.096,-51.969,13.261;180396,0.044,-1.468,0.558,-7.996,-46.984,17.840;180420,0.048,-1.369,0.534,-5.661,-43.846,20.453
